,delta_z,n_ms_site_0,n_ms_site_1,alpha_d_site_0,alpha_d_site_1,alpha_a,d_dist_site_0,d_dist_site_1,age_ms_range_site_0_lo,age_ms_range_site_0_hi,age_ms_range_site_1_lo,age_ms_range_site_1_hi,b0,sig_s_site_0,sig_s_site_1,alpha_site_0,alpha_site_1,n_hc,sig_b_site_0,sig_b_site_1,age_hc_range_site_0,age_hc_range_site_1,gamma_site_0,gamma_site_1
23,0.9442620648226392,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
24,-3.511785165204587,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
25,-0.1735123984675365,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
26,-0.9360912274372253,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
27,-0.43248210712355567,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
28,-4.904068262352204,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
29,-2.3971761723642335,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
30,-0.9323217469793016,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
31,-0.2538481354607717,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,0.9,1.1,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
32,-2.090604602334932,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
33,-1.2536341926923948,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
34,-0.36933657088878474,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
35,0.438006118019737,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
36,-5.714022174040327,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
37,-2.716308569316792,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
38,-2.189243750737086,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
39,-1.2874708275208238,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.88,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
40,-2.761310916876515,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
41,2.0166639606388985,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,25.0,57.0,57.0,20.0,52.0,20.0,-20.0
42,2.7314983755627327,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,50.0,57.0,57.0,20.0,52.0,20.0,-20.0
43,3.464369919244326,250.0,250.0,-16.0,-16.0,-3.0,0.88,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,100.0,57.0,57.0,20.0,52.0,20.0,-20.0
44,-3.3152858182871694,250.0,250.0,-16.0,-16.0,-3.0,0.5,0.5,20.0,45.0,20.0,45.0,1644.0,16.0,16.0,1.1,0.5,10.0,57.0,57.0,20.0,52.0,20.0,-20.0
